year,global_temp,city_temp,Global 10-yr annual MA,San Diego 10-yr annual MA,,
1849,7.98,16.03,,,,
1850,7.9,15.55,,,,
1851,8.18,15.66,,,,
1852,8.1,16.06,,,,
1853,8.04,16.69,,,,
1854,8.21,16.11,,,,
1855,8.11,16.31,,,,
1856,8,15.75,,,,
1857,7.76,16.41,,,,
1858,8.1,15.96,8.038,16.053,,
1859,8.25,15.64,8.065,16.014,,
1860,7.96,15.74,8.071,16.033,,
1861,7.85,16.82,8.038,16.149,,
1862,7.56,16.37,7.984,16.18,,
1863,8.11,16.1,7.991,16.121,,
1864,7.98,16.87,7.968,16.197,,
1865,8.18,16.18,7.975,16.184,,
1866,8.29,16.64,8.004,16.273,,
1867,8.44,16.99,8.072,16.331,,
1868,8.25,16.53,8.087,16.388,,
1869,8.43,16.3,8.105,16.454,,
1870,8.2,15.85,8.129,16.465,,
1871,8.12,16.13,8.156,16.396,,
1872,8.19,15.7,8.219,16.329,,
1873,8.35,15.81,8.243,16.3,,
1874,8.43,15.4,8.288,16.153,,
1875,7.86,16.3,8.256,16.165,,
1876,8.08,15.96,8.235,16.097,,
1877,8.54,16.49,8.245,16.047,,
1878,8.83,15.73,8.303,15.967,,
1879,8.17,15.81,8.277,15.918,,
1880,8.12,14.66,8.269,15.799,,
1881,8.27,15.77,8.284,15.763,,
1882,8.13,15.16,8.278,15.709,,
1883,7.98,15.83,8.241,15.711,,
1884,7.77,15.47,8.175,15.718,,
1885,7.92,16.51,8.181,15.739,,
1886,7.95,15.86,8.168,15.729,,
1887,7.91,15.74,8.105,15.654,,
1888,8.09,16.04,8.031,15.685,,
1889,8.32,16.38,8.046,15.742,,
1890,7.97,16.1,8.031,15.886,,
1891,8.02,15.86,8.006,15.895,,
1892,8.07,15.57,8,15.936,,
1893,8.06,15.45,8.008,15.898,,
1894,8.16,15,8.047,15.851,,
1895,8.15,15.66,8.07,15.766,,
1896,8.21,16.15,8.096,15.795,,
1897,8.29,15.57,8.134,15.778,,
1898,8.18,15.75,8.143,15.749,,
1899,8.4,15.78,8.151,15.689,,
1900,8.5,16.5,8.204,15.729,,
1901,8.54,16.03,8.256,15.746,,
1902,8.3,15.32,8.279,15.721,,
1903,8.22,15.74,8.295,15.75,,
1904,8.09,16.38,8.288,15.888,,
1905,8.23,15.92,8.296,15.914,,
1906,8.38,16.02,8.313,15.901,,
1907,7.95,15.74,8.279,15.918,,
1908,8.19,15.36,8.28,15.879,,
1909,8.18,15.35,8.258,15.836,,
1910,8.22,16.12,8.23,15.798,,
1911,8.18,15.43,8.194,15.738,,
1912,8.17,15.33,8.181,15.739,,
1913,8.3,15.41,8.189,15.706,,
1914,8.59,16.03,8.239,15.671,,
1915,8.59,15.68,8.275,15.647,,
1916,8.23,15.09,8.26,15.554,,
1917,8.02,15.65,8.267,15.545,,
1918,8.13,16.13,8.261,15.622,,
1919,8.38,15.55,8.281,15.642,,
1920,8.36,15.4,8.295,15.57,,
1921,8.57,15.74,8.334,15.601,,
1922,8.41,15.49,8.358,15.617,,
1923,8.42,15.66,8.37,15.642,,
1924,8.51,15.75,8.362,15.614,,
1925,8.53,16.02,8.356,15.648,,
1926,8.73,16.5,8.406,15.789,,
1927,8.52,15.84,8.456,15.808,,
1928,8.63,16.13,8.506,15.808,,
1929,8.24,16.16,8.492,15.869,,
1930,8.63,16.1,8.519,15.939,,
1931,8.72,17.08,8.534,16.073,,
1932,8.71,15.64,8.564,16.088,,
1933,8.34,15.19,8.556,16.041,,
1934,8.63,16.95,8.568,16.161,,
1935,8.52,15.82,8.567,16.141,,
1936,8.55,16.73,8.549,16.164,,
1937,8.7,15.99,8.567,16.179,,
1938,8.86,16.32,8.59,16.198,,
1939,8.76,16.46,8.642,16.228,,
1940,8.76,16.85,8.655,16.303,,
1941,8.77,16.37,8.66,16.232,,
1942,8.73,15.9,8.662,16.258,,
1943,8.76,16.56,8.704,16.395,,
1944,8.85,15.42,8.726,16.242,,
1945,8.58,15.84,8.732,16.244,,
1946,8.68,15.94,8.745,16.165,,
1947,8.8,16.36,8.755,16.202,,
1948,8.75,15.34,8.744,16.104,,
1949,8.59,15.56,8.727,16.014,,
1950,8.37,15.96,8.688,15.925,,
1951,8.63,15.82,8.674,15.87,,
1952,8.64,15.6,8.665,15.84,,
1953,8.87,16.05,8.676,15.789,,
1954,8.56,16.21,8.647,15.868,,
1955,8.63,15.57,8.652,15.841,,
